ups,account_created_utc,link_karma,comment_karma,num_comments,image_provided,reciprocate,exchange,text_length,money,time,job,student,family,craving,label
5,1367570981.0,33,4461,0,0,1,0,155,2,3,3,0,0,2,got_pizza
2,1317624396.0,2918,594,6,0,0,0,36,0,1,2,2,0,0,got_pizza
21,1362412177.0,132,145,4,0,0,0,62,1,1,0,0,0,0,got_pizza
2,1392238371.0,2,268,7,0,0,0,196,2,3,0,0,3,0,got_pizza
1,1362043670.0,13697,3196,0,0,0,0,79,0,3,0,0,0,0,got_pizza
1,1415485925.0,1,105,0,0,0,0,63,1,5,0,0,0,1,got_pizza
1,1365921707.0,558,469,6,0,1,0,118,2,4,1,0,1,0,got_pizza
9,1312455578.0,1,43,2,0,0,0,152,1,5,0,1,0,1,got_pizza
2,1390604071.0,1,43,3,0,0,0,172,1,4,1,0,3,0,got_pizza
6,1355449300.0,2985,2844,15,0,0,0,85,0,3,3,0,0,0,got_pizza
18,1339696560.0,3574,6706,2,0,0,0,190,1,0,2,0,4,0,got_pizza
4,1415485925.0,1,105,3,0,0,0,42,0,1,0,0,0,0,got_pizza
9,1409028595.0,1040,1258,1,0,0,0,130,4,2,0,0,0,2,got_pizza
6,1377528669.0,19,459,2,0,1,0,151,4,4,2,0,0,0,got_pizza
18,1388419476.0,248,799,14,0,0,1,74,0,0,0,0,0,0,got_pizza
5,1312490609.0,6205,4883,2,0,1,0,145,2,5,3,0,0,0,got_pizza
8,1383880869.0,4,91,5,0,0,0,55,1,4,0,0,2,0,got_pizza
15,1312462399.0,12808,975,2,0,0,0,132,0,3,1,3,4,0,got_pizza
3,1353821950.0,759,2146,13,1,0,0,272,4,8,4,0,0,0,got_pizza
19,1385786367.0,737,8605,12,0,0,0,220,0,2,1,0,6,0,got_pizza
2,1332041820.0,202,3437,1,0,0,0,124,2,2,2,0,0,1,got_pizza
9,1376942254.0,4717,4119,16,0,0,0,175,2,6,0,0,0,0,got_pizza
3,1400613806.0,67,712,0,0,0,0,84,0,0,0,0,0,0,got_pizza
30,1388275421.0,150,437,2,0,0,0,115,2,6,1,0,0,0,got_pizza
2,1415925193.0,1,43,3,1,0,0,57,0,0,0,0,0,0,got_pizza
0,1412550637.0,12,302,2,0,0,0,77,6,1,0,0,1,2,got_pizza
12,1338733737.0,319,916,3,0,1,0,115,1,1,2,0,0,0,got_pizza
3,1385477367.0,168,775,4,0,0,1,109,0,0,0,0,1,2,got_pizza
2,1373508678.0,107,13004,5,0,0,1,341,2,2,2,0,0,0,got_pizza
9,1325979904.0,707,519,6,0,0,0,58,0,1,0,0,0,0,got_pizza
14,1339508690.0,341,1454,2,1,0,0,115,0,0,2,2,0,0,got_pizza
1,1396050576.0,1,137,2,0,0,0,148,1,3,0,3,0,0,got_pizza
4,1405911346.0,1,68,1,0,0,0,105,5,1,2,0,0,1,got_pizza
2,1394503419.0,55,2271,3,0,0,0,297,1,5,0,0,0,2,got_pizza
5,1327708116.0,837,7788,4,0,0,0,76,0,1,0,0,0,2,got_pizza
5,1384286870.0,1534,27198,2,0,0,0,78,2,2,1,6,0,0,got_pizza
38,1374523106.0,4815,132,2,0,0,0,138,0,2,0,0,0,2,got_pizza
15,1408599413.0,406,1184,1,0,0,0,39,1,2,1,0,0,0,got_pizza
1,1412659216.0,1162,1016,9,0,0,0,94,1,5,0,0,2,0,got_pizza
2,1402429566.0,1183,672,0,0,1,0,147,2,4,1,0,0,2,got_pizza
