account_age,account_created_utc,link_karma,comment_karma,ups,num_comments,image_provided,reciprocate,exchange,text_length,label
135389825.0,1295985096.0,1766,9181,3,0,0,0,0,37,no_pizza
63343793.0,1368029345.0,4151,7288,3,1,0,0,0,134,no_pizza
40735317.0,1390632833.0,192,434,2,0,0,0,0,64,no_pizza
11970220.0,1419396736.0,1696,12039,2,1,0,0,0,80,no_pizza
18385485.0,1412978768.0,27,129,1,2,0,0,0,19,no_pizza
47426687.0,1383936933.0,346,64,1,2,0,0,0,34,no_pizza
74446825.0,1356916747.0,115,158,1,2,1,0,0,69,no_pizza
57164818.0,1374198458.0,21,476,2,0,0,0,0,99,no_pizza
68909131.0,1362442323.0,474,2142,0,0,0,0,0,33,no_pizza
88806887.0,1342521638.0,293,818,0,0,0,0,0,66,no_pizza
111887675.0,1319420574.0,18340,49721,2,0,0,0,0,7,no_pizza
111611725.0,1319694261.0,4273,694,1,2,0,0,0,50,no_pizza
108156068.0,1323146495.0,3521,1068,2,2,0,1,0,107,no_pizza
75400422.0,1355899194.0,2056,1605,3,1,0,0,0,57,no_pizza
37222964.0,1394075500.0,215,5955,3,3,0,0,0,98,no_pizza
70573568.0,1360719767.0,85,178,4,3,1,0,0,128,no_pizza
38600357.0,1392691242.0,1,46,1,0,0,0,0,48,no_pizza
96151715.0,1335137467.0,171,407,3,0,0,0,0,66,no_pizza
42137723.0,1389150917.0,337,96,5,2,0,0,0,67,no_pizza
42909554.0,1388371110.0,67,300,4,0,0,0,0,22,no_pizza
24439884.0,1406839792.0,1,283,0,0,0,0,0,61,no_pizza
125331912.0,1305943275.0,7680,11146,5,0,0,0,0,93,no_pizza
92881142.0,1338387454.0,2547,673,5,0,0,0,0,79,no_pizza
15449084.0,1415809577.0,453,1129,31,4,0,0,0,81,no_pizza
95059058.0,1336196850.0,34,516,9,0,0,0,0,49,no_pizza
127163876.0,1304068967.0,403,818,3,0,0,0,0,108,no_pizza
154290266.0,1276937301.0,3,32,3,0,0,0,0,68,no_pizza
10368825.0,1420857182.0,472,252,4,1,0,0,0,68,no_pizza
90050739.0,1341170774.0,213,137,9,7,0,0,0,313,no_pizza
35091906.0,1396128137.0,789,41,8,0,0,0,0,79,no_pizza
33004921.0,1398214494.0,3,45,1,3,0,0,1,40,no_pizza
69364072.0,1361846034.0,64,393,2,0,0,0,0,12,no_pizza
170096967.0,1261105044.0,407,4671,1,2,0,0,0,68,no_pizza
41298750.0,1389902561.0,161,2402,0,0,0,0,0,65,no_pizza
214014545.0,1217184252.0,29,844,0,2,0,0,0,57,no_pizza
113782029.0,1317415509.0,125,638,0,0,0,0,0,117,no_pizza
52254915.0,1378942084.0,1,53,3,0,0,0,0,143,no_pizza
7302191.0,1423894194.0,1,618,1,0,0,0,0,53,no_pizza
83633619.0,1347561048.0,91,42,1,0,0,0,0,36,no_pizza
22223705.0,1408911460.0,4,94,8,0,0,0,0,101,no_pizza
112821001.0,1318314149.0,1389,4770,23,0,0,0,0,83,no_pizza
6674390.0,1424453791.0,1,144,2,0,0,0,0,36,no_pizza
42756282.0,1388371110.0,67,300,1,0,0,0,0,38,no_pizza
13821154.0,1417305435.0,1,61,3,0,0,0,0,45,no_pizza
39597439.0,1391526472.0,9,63,3,0,0,0,0,84,no_pizza
26755510.0,1404367859.0,3,31,2,0,0,0,0,41,no_pizza
76629540.0,1354493275.0,2,227,5,0,0,1,0,393,no_pizza
78467283.0,1352655206.0,60,254,3,4,0,0,0,36,no_pizza
5381010.0,1425735831.0,270,141,3,0,0,0,0,40,no_pizza
33921109.0,1397191874.0,1,112,6,0,0,1,0,107,no_pizza
26414084.0,1404683909.0,33,562,24,4,1,0,0,207,no_pizza
95321003.0,1335742021.0,166,470,2,1,0,0,0,58,no_pizza
124828730.0,1306215803.0,2160,3001,12,5,0,0,0,51,no_pizza
172181975.0,1258861570.0,5523,8481,11,0,0,0,0,98,no_pizza
116400724.0,1314641127.0,116,691,1,0,0,1,0,42,no_pizza
49777016.0,1381261583.0,11,140,1,0,0,0,0,217,no_pizza
59764990.0,1371273391.0,1,3398,1,0,0,0,0,74,no_pizza
99543599.0,1331492335.0,100,359,2,0,0,0,0,69,no_pizza
104075781.0,1326959903.0,92,384,1,0,0,0,0,210,no_pizza
30983866.0,1400045690.0,26,39,8,1,0,0,0,64,no_pizza
66372050.0,1364639981.0,1695,8992,3,0,0,0,0,64,no_pizza
112790443.0,1318179875.0,570,3654,4,0,0,0,0,38,no_pizza
118494786.0,1312471354.0,3405,2038,3,0,0,1,0,142,no_pizza
81746501.0,1349217363.0,41,295,7,0,0,0,0,106,no_pizza
80340976.0,1350620681.0,964,36501,0,1,0,0,0,107,no_pizza
92710663.0,1338249025.0,405,1128,0,1,0,1,0,153,no_pizza
98917377.0,1332041820.0,202,3728,1,0,0,0,0,121,no_pizza
135482120.0,1295476810.0,2377,1708,19,2,0,1,0,61,no_pizza
84753773.0,1346204058.0,369,1868,0,2,0,0,0,52,no_pizza
103062733.0,1327893572.0,3,46,1,0,0,0,0,61,no_pizza
50180563.0,1380770441.0,30,51,0,0,0,0,0,19,no_pizza
78892008.0,1352054993.0,121,75,8,2,0,0,0,49,no_pizza
71970860.0,1358974023.0,1,294,1,0,0,0,0,45,no_pizza
25898587.0,1405038189.0,2,54,0,0,0,0,0,65,no_pizza
28849625.0,1402085382.0,1,51,1,0,0,0,0,48,no_pizza
114399297.0,1316531234.0,91,59,7,2,0,0,0,167,no_pizza
148338319.0,1282590973.0,961,696,1,0,0,0,0,50,no_pizza
17944894.0,1412978768.0,27,129,3,1,0,0,0,21,no_pizza
28113676.0,1402808189.0,2339,3217,11,3,1,0,0,220,no_pizza
14192098.0,1416690793.0,1,391,5,1,0,1,0,82,no_pizza
104842240.0,1326031720.0,296,816,14,0,0,0,0,134,no_pizza
7246485.0,1423626964.0,2,521,3,0,0,1,0,78,no_pizza
8589362.0,1422283214.0,1,33,4,0,0,0,0,117,no_pizza
106891055.0,1323980117.0,440,1136,1,0,0,0,0,78,no_pizza
28584324.0,1402284793.0,29,221,1,0,0,0,0,70,no_pizza
59516980.0,1371350215.0,1887,6246,5,0,0,1,0,100,no_pizza
102558198.0,1328304062.0,769,1616,3,0,0,0,0,55,no_pizza
122868089.0,1307991334.0,263,45,3,0,0,0,0,34,no_pizza
94624243.0,1336232968.0,975,56,5,3,0,0,0,62,no_pizza
107404530.0,1323450022.0,5079,12494,8,0,0,0,0,149,no_pizza
56400269.0,1374449252.0,9,2856,12,1,0,0,0,87,no_pizza
25131781.0,1405703475.0,46,7412,13,5,0,0,0,113,no_pizza
115802863.0,1314993428.0,1363,3016,1,0,0,1,0,80,no_pizza
171933342.0,1258861570.0,5523,8481,6,0,0,0,0,31,no_pizza
